0,2886729729,3232238130,32768,1301,TCP,0,0,60,60,S,29200
0,3232238130,2886729729,1301,32768,TCP,1,42,40,40,AR,0
1,2886729729,3232238130,32768,5631,TCP,0,0,60,60,S,29200
1,3232238130,2886729729,5631,32768,TCP,1,21,40,40,AR,0
2,2886729729,3232238130,32768,7004,TCP,0,0,60,60,S,29200
2,3232238130,2886729729,7004,32768,TCP,1,45,40,40,AR,0
3,2886729729,3232238130,32768,9081,TCP,0,0,60,60,S,29200
3,3232238130,2886729729,9081,32768,TCP,1,22,40,40,AR,0
4,2886729729,3232238130,32770,1145,TCP,0,0,60,60,S,29200
4,3232238130,2886729729,1145,32770,TCP,1,77,40,40,AR,0
5,2886729729,3232238130,32770,1580,TCP,0,0,60,60,S,29200
5,3232238130,2886729729,1580,32770,TCP,1,44,40,40,AR,0
6,2886729729,3232238130,32770,16012,TCP,0,0,60,60,S,29200
6,3232238130,2886729729,16012,32770,TCP,1,45,40,40,AR,0
7,2886729729,3232238130,32770,2049,TCP,0,0,60,60,S,29200
7,3232238130,2886729729,2049,32770,TCP,1,60,40,40,AR,0
8,2886729729,3232238130,32770,28201,TCP,0,0,60,60,S,29200
8,3232238130,2886729729,28201,32770,TCP,1,49,40,40,AR,0
9,2886729729,3232238130,32770,458,TCP,0,0,60,60,S,29200
9,3232238130,2886729729,458,32770,TCP,1,41,40,40,AR,0
10,2886729729,3232238130,32772,17877,TCP,0,0,60,60,S,29200
10,3232238130,2886729729,17877,32772,TCP,1,52,40,40,AR,0
11,2886729729,3232238130,32772,2099,TCP,0,0,60,60,S,29200
11,3232238130,2886729729,2099,32772,TCP,1,50,40,40,AR,0
12,2886729729,3232238130,32772,3071,TCP,0,0,60,60,S,29200
12,3232238130,2886729729,3071,32772,TCP,1,79,40,40,AR,0
13,2886729729,3232238130,32772,7019,TCP,0,0,60,60,S,29200
13,3232238130,2886729729,7019,32772,TCP,1,100,40,40,AR,0
14,2886729729,3232238130,32772,89,TCP,0,0,60,60,S,29200
14,3232238130,2886729729,89,32772,TCP,1,73,40,40,AR,0
15,2886729729,3232238130,32772,9040,TCP,0,0,60,60,S,29200
15,3232238130,2886729729,9040,32772,TCP,1,29,40,40,AR,0
16,3232238130,2886729729,100,32774,TCP,1,0,40,40,AR,0
16,2886729729,3232238130,32774,100,TCP,0,0,60,60,S,29200
17,3232238130,2886729729,1104,32774,TCP,1,0,40,40,AR,0
17,2886729729,3232238130,32774,1104,TCP,0,1,60,60,S,29200
18,2886729729,3232238130,32774,1761,TCP,0,0,60,60,S,29200
18,3232238130,2886729729,1761,32774,TCP,1,56,40,40,AR,0
19,2886729729,3232238130,32774,2030,TCP,0,0,60,60,S,29200
19,3232238130,2886729729,2030,32774,TCP,1,42,40,40,AR,0
20,2886729729,3232238130,32774,700,TCP,0,0,60,60,S,29200
20,3232238130,2886729729,700,32774,TCP,1,45,40,40,AR,0
21,2886729729,3232238130,32776,1036,TCP,0,0,60,60,S,29200
21,3232238130,2886729729,1036,32776,TCP,1,48,40,40,AR,0
22,2886729729,3232238130,32776,2022,TCP,0,0,60,60,S,29200
22,3232238130,2886729729,2022,32776,TCP,1,62,40,40,AR,0
23,2886729729,3232238130,32776,3889,TCP,0,0,60,60,S,29200
23,3232238130,2886729729,3889,32776,TCP,1,5,40,40,AR,0
24,2886729729,3232238130,32776,50389,TCP,0,0,60,60,S,29200
24,3232238130,2886729729,50389,32776,TCP,1,55,40,40,AR,0
25,2886729729,3232238130,32778,10000,TCP,0,0,60,60,S,29200
25,3232238130,2886729729,10000,32778,TCP,1,55,40,40,AR,0
